1dbbc617-507b-41d2-9587-0585ebb8ba0e | lama | 1 | pengiriman
061cb701-3fd7-4fc0-a094-d520aafcec48 | salah | 1 | kualitas produk
d5941b11-dd2d-4c26-afb3-d4f1234373aa | beda | 1 | kualitas produk
d5941b11-dd2d-4c26-afb3-d4f1234373aa | lama | 1 | pengiriman
ff386a03-f7ce-4a54-b4e3-b83b2be194af | lama | 1 | pengiriman
ff386a03-f7ce-4a54-b4e3-b83b2be194af | robek | 1 | kemasan
4b7c086a-0e1b-4866-a2a0-ce7b66e5264b | lama | 1 | pengiriman
626f6d7d-25ff-4487-950a-9d24d7dd8b6e | menyengat | 1 | pelayanan
626f6d7d-25ff-4487-950a-9d24d7dd8b6e | lama | 1 | pengiriman
626f6d7d-25ff-4487-950a-9d24d7dd8b6e | cocok | 1 | kualitas produk
2bf7f2c8-5916-4a9e-b9cb-865f5b20d975 | tumpah | 1 | kemasan
2bf7f2c8-5916-4a9e-b9cb-865f5b20d975 | kecewa | 1 | pelayanan
2bf7f2c8-5916-4a9e-b9cb-865f5b20d975 | lama | 1 | pengiriman
c05ccfd2-409c-4114-abcd-02a7d681cb6f | sesuai | 1 | kualitas produk
c05ccfd2-409c-4114-abcd-02a7d681cb6f | bocor | 1 | kemasan
3645ac73-668d-48c6-820d-ff3081aa34ff | sesuai | 2 | kualitas produk
3645ac73-668d-48c6-820d-ff3081aa34ff | kecewa | 1 | pelayanan
b734aada-c1b9-4034-a700-9589f7d2bd6c | kadaluarsa | 1 | kualitas produk
b734aada-c1b9-4034-a700-9589f7d2bd6c | lama | 1 | pengiriman
619d1058-a7a1-4a3d-b737-9851883a6941 | lama | 2 | pengiriman
619d1058-a7a1-4a3d-b737-9851883a6941 | bocor | 1 | kemasan
e11ecd0b-0296-443f-a21e-7f6786db4d01 | cocok | 1 | kualitas produk
e11ecd0b-0296-443f-a21e-7f6786db4d01 | pecah | 1 | kemasan
f11bded4-78bb-40b7-8d6a-345cab327483 | beda | 1 | kualitas produk
f11bded4-78bb-40b7-8d6a-345cab327483 | cocok | 1 | kualitas produk
7c600bf3-d80e-44c6-a88e-774a353a9fdb | rusak | 1 | kemasan
7c600bf3-d80e-44c6-a88e-774a353a9fdb | bocor | 1 | kemasan
7c600bf3-d80e-44c6-a88e-774a353a9fdb | lama | 1 | pengiriman
7a136f4b-d938-47e7-bf9c-76cc61d88e86 | rusak | 1 | kemasan
7a136f4b-d938-47e7-bf9c-76cc61d88e86 | bocor | 1 | kemasan
7a136f4b-d938-47e7-bf9c-76cc61d88e86 | lama | 1 | pengiriman
3ea69c61-053d-413e-9339-dd1a954a0bef | mahal | 1 | harga
cbe86dce-1b9e-4c09-be61-d279b4007463 | kecewa | 1 | pelayanan
304932a4-a30b-42f6-a43d-17f279a686c9 | lama | 1 | pengiriman
304932a4-a30b-42f6-a43d-17f279a686c9 | penyok | 1 | kemasan
304932a4-a30b-42f6-a43d-17f279a686c9 | rusak | 1 | kemasan
e265954a-266b-4ab2-ab04-5fecf332666f | lama | 1 | pengiriman
d5694bf3-ac48-4c83-8e12-48a291e84176 | bocor | 1 | kemasan
c3731391-6ed4-4735-bb2d-ae23d72b41b5 | pecah | 1 | kemasan
5e7f39df-cc4c-4d4e-a37f-eb11e2d077f8 | menyengat | 1 | pelayanan
5e7f39df-cc4c-4d4e-a37f-eb11e2d077f8 | beda | 1 | kualitas produk
8001943c-1053-40b3-8288-fc119b78e7a3 | mahal | 1 | harga
8148154b-c06a-4a25-ab3f-f946f51e2421 | lama | 1 | pengiriman
8148154b-c06a-4a25-ab3f-f946f51e2421 | rusak | 1 | kemasan
1f14c9aa-1631-47bc-8dca-008de8497271 | tumpah | 2 | kemasan
1f14c9aa-1631-47bc-8dca-008de8497271 | robek | 1 | kemasan
1f14c9aa-1631-47bc-8dca-008de8497271 | bocor | 1 | kemasan
1f14c9aa-1631-47bc-8dca-008de8497271 | kecewa | 1 | pelayanan
34ce5fa8-8509-4226-97cf-8c746b64ca2e | bocor | 2 | kemasan
34ce5fa8-8509-4226-97cf-8c746b64ca2e | tumpah | 1 | kemasan
1969dd34-0599-47fd-925a-9bfc344ac0dc | penyok | 1 | kemasan
31c6b7bf-b7ef-49f5-83b2-5741aaab1aec | pecah | 1 | kemasan
31c6b7bf-b7ef-49f5-83b2-5741aaab1aec | fresh | 1 | kualitas produk
31c6b7bf-b7ef-49f5-83b2-5741aaab1aec | lama | 1 | pengiriman
2c6822d6-9130-4055-9c16-a197d6671cb2 | kecewa | 1 | pelayanan
2c6822d6-9130-4055-9c16-a197d6671cb2 | sesuai | 1 | kualitas produk
2c6822d6-9130-4055-9c16-a197d6671cb2 | salah | 1 | kualitas produk
d11f6f4d-99d0-4e43-b75f-1ee6d4abf8d3 | rusak | 3 | kemasan
d11f6f4d-99d0-4e43-b75f-1ee6d4abf8d3 | lama | 1 | pengiriman
b2a63d2c-9ff8-474c-a4f0-f48cd5420f57 | kecewa | 1 | pelayanan
5ef72346-998b-4e0b-aaef-c356e5821ce4 | kecewa | 2 | pelayanan
9a8d2ca8-8d23-4eb6-b618-267adebe7bbd | bagus | 1 | kualitas produk
89b0506e-0ab1-4283-a325-705ba8d374dc | sampe | 1 | pengiriman
20aad4c4-c94b-4b73-bdfb-a7d22ba47dbc | salah | 1 | kualitas produk
aeef7853-020b-484b-81ab-8e69030677ac | salah | 1 | kualitas produk
aeef7853-020b-484b-81ab-8e69030677ac | beda | 1 | kualitas produk
aeef7853-020b-484b-81ab-8e69030677ac | rapi | 1 | kualitas produk
c4ef1dd8-be61-4fde-a140-c97a0553c217 | mahal | 1 | harga
c4ef1dd8-be61-4fde-a140-c97a0553c217 | pecah | 1 | kemasan
fddaf34c-502c-4d38-98a8-9058cef212f3 | licin | 1 | kualitas produk
bae2b0dd-08a2-44a8-bbf2-79e6618cf61b | lama | 1 | pengiriman
92b03bfe-5edb-4290-8dd7-b7cbec8c8445 | pecah | 2 | kemasan
